property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary
two-bedroom end of terrace dwelling,cavity,1965,both,not mentioned,"100mm extraction units in kitchen and bathroom, trickle vents on windows",uPVC,not mentioned,yes,kitchen,bathroom,David_Bly_LU4.pdf,lack of adequate heating and ventilation,semi-detached/end terrace,extract ventilation,uPVC,insufficient heating,poor ventilation
semi-detached,cavity,1990 - present,mould,east,"mechanical extraction units in kitchen, WC, and bathroom; trickle vents",not mentioned,not mentioned,yes,bedroom 1,"bathroom, lounge",David_Bly_EX14.pdf,elevated humidity levels and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
end of terrace dwelling,solid,not mentioned,damp,not mentioned,"extractor in kitchen, trickle vents closed",uPVC,3 people,yes,"lounge, bedroom 2","bedroom 1, bathroom",David_Bly_LU1 (2).pdf,elevated internal humidity with closed trickle vents,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
ground floor flat in a purpose-built block,solid,pre-1965,both,not mentioned,humidity controlled extractor fans in the kitchen and bathroom,uPVC,not mentioned,not mentioned,bathroom,kitchen,David_Bly_E7.pdf,condensation and ineffective ventilation,ground floor flat,extract ventilation,uPVC,poor ventilation,none
modern mid-terrace dwelling,cavity,not mentioned,mould,not mentioned,extractor fans and trickle vents,uPVC,not mentioned,not mentioned,"Master Bedroom, Bed 2",not mentioned,David_Bly_RH11.pdf,inadequate bathroom ventilation,mid terrace,extract ventilation,uPVC,poor ventilation,none
ground floor flat,cavity,1950s-60s,both,not mentioned,"extraction unit in bathroom, trickle vents open",uPVC,1 adult and 1 child,no,bedroom 1,bathroom,David_Bly_SN8.pdf,condensation due to inadequate ventilation,ground floor flat,extract ventilation,uPVC,poor ventilation,none
one-bedroom ground floor flat,cavity,summer of 2024,both,not mentioned,extractors,not mentioned,1 adult,not mentioned,not mentioned,not mentioned,David_Bly_RH10.pdf,residual construction moisture,ground floor flat,extract ventilation,not mentioned,residual construction moisture,none
ground floor maisonette,cavity,1990 - present,both,not mentioned,"lack of trickle vents, reliance on purge ventilation",not mentioned,not mentioned,not mentioned,"Bedroom 1, Hallway",not mentioned,David_Bly_RG2.pdf,inadequate ventilation and elevated atmospheric moisture,ground floor flat,natural ventilation,not mentioned,poor ventilation,none
ground floor flat,cavity,not mentioned,mould,not mentioned,trickle vents and extraction units,not mentioned,not mentioned,not mentioned,Bedroom 1,Bedroom 2,David_Bly_LU3.pdf,furniture blocking airflow causing cold spots,ground floor flat,extract ventilation,not mentioned,lifestyle factors,none
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"background trickle vents, forced extraction devices",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,David_Bly_CR8.pdf,structural dampness from inadequate membrane installation,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"trickle vent, 100mm pull chord extraction unit",uPVC,3 adults and 2 children,yes,bedroom 1,bedroom 2,David_Bly_LU2.pdf,restricted airflow and elevated atmospheric conditions,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
two-bedroom first floor flat,cavity,not mentioned,both,not mentioned,"mechanical extraction units in kitchen and bathroom, passive vent in bedroom 1, trickle vents to all windows except lounge",not mentioned,not mentioned,yes,bathroom,bedroom 1,David_Bly_SO19.pdf,lack of adequate cross ventilation,flat,extract ventilation,not mentioned,poor ventilation,none
semi-detached dwelling,cavity,not mentioned,both,not mentioned,bathroom extractor and kitchen pull cord device,not mentioned,not mentioned,not mentioned,ground floor bathroom,"kitchen, hallway",David_Bly_SO31.pdf,moisture migration from exterior to interior,semi-detached/end terrace,extract ventilation,not mentioned,external moisture penetration,none
ground floor flat in a purpose-built block,cavity,early 1970s,both,not mentioned,"extractors, trickle vents",uPVC,not mentioned,yes,bathroom,"lounge, bedroom 1",David_Bly_RG1.pdf,ineffective forced ventilation in key areas,ground floor flat,extract ventilation,uPVC,poor ventilation,none
mid-terrace dwelling,cavity,not mentioned,both,not mentioned,"extractors, passive vents, trickle vents",uPVC,2 adults and 3 children,yes,"hall, bedroom 1","kitchen, bathroom",David_Bly_LU1 (3).pdf,atmospheric moisture levels within the property,mid terrace,extract ventilation,uPVC,poor ventilation,none
modern two-bedroom end of terrace dwelling,cavity,not mentioned,mould,not mentioned,intermittent fan units and trickle vents,not mentioned,not mentioned,not mentioned,lounge,not mentioned,David_Bly_IP25.pdf,elevated humidity and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
one-bedroom ground floor flat,cavity,1984,both,not mentioned,"non-functioning extraction device in the bathroom, working unit in the kitchen",not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,David_Bly_CR0 (1).pdf,lack of ventilation and high humidity,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
first floor flat in a purpose-built block,cavity,not mentioned,both,north,"PIV unit, extractor fans, trickle vents",uPVC,not mentioned,yes,bedroom,hallway,David_Bly_SM2.pdf,condensation due to inadequate ventilation,flat,PIV,uPVC,poor ventilation,none
three-bedroom end of terrace dwelling,cavity,1950s,both,not mentioned,"cooker hood (not in use), trickle vents (closed)",uPVC,3 adults and 1 baby,yes,"hall, kitchen","bathroom, landing",David_Bly_LU1.pdf,moisture penetration through external cracks,semi-detached/end terrace,natural ventilation,uPVC,external moisture penetration,none
semi-detached,solid,1965 – 1990,both,north,"limited ventilation, no trickle vents, reliance on opening windows",uPVC,not mentioned,not mentioned,"Bedroom 1, Bedroom 2",not mentioned,David_Bly_PO8 (2).pdf,inadequate ventilation and elevated humidity,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
end-terraced,cavity,1920 – 1950,mould,east,"mechanical extraction unit in the kitchen, passive wall vent, passive trickle vents",not mentioned,not mentioned,not mentioned,Bedroom 1,not mentioned,David_Bly_ME4 (2).pdf,elevated humidity and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
semi-detached dwelling,cavity,1950,both,not mentioned,"forced ventilation in kitchen and bathroom, passive ventilation with trickle vents",uPVC,not mentioned,yes,kitchen and lounge,"daughters bedroom, sons bedroom, landing",David_Bly_KT7.pdf,ventilation issues and rising damp,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,rising damp
ground floor one bedroom flat,cavity,not mentioned,both,not mentioned,"trickle vents, passive vents",not mentioned,not mentioned,yes,lounge,kitchen,David_Bly_LU3 (3).pdf,lack of ventilation and inadequate heating,ground floor flat,natural ventilation,not mentioned,poor ventilation,insufficient heating
one bedroom ground floor dwelling,cavity,pre-date 1965,mould,not mentioned,"mechanical extraction units in kitchen and bathroom, passive trickle vents",not mentioned,not mentioned,yes,bedroom,wardrobes,David_Bly_LU2 (2).pdf,inadequate ventilation during elevated humidity,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
terraced two-bedroom ground floor flat,cavity,not mentioned,both,not mentioned,"extraction unit in kitchen, passive ventilation unit in Bedroom 1, trickle vents",not mentioned,not mentioned,not mentioned,"lounge, bedroom 1",not mentioned,David_Bly_LU1 (4).pdf,lack of adequate ventilation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
two-bedroom ground floor flat,cavity,circa 2018,both,not mentioned,"PIV unit, bathroom and kitchen extractors",not mentioned,not mentioned,yes,bathroom,kitchen,David_Bly_GU24.pdf,long-term leak from bathroom seat fixings,ground floor flat,PIV,not mentioned,internal leaks/plumbing,none
modernised detached 3 bedroomed dwelling,not mentioned,not mentioned,both,not mentioned,"extractors, trickle vents",not mentioned,not mentioned,not mentioned,lounge,bathroom,David_Bly_PO8.pdf,structural related issues causing water ingress,detached,extract ventilation,not mentioned,external moisture penetration,none
upper floor flat in a purpose-built block,solid,late 1930s,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,yes,lounge,not mentioned,David_Bly_W12.pdf,elevated internal atmospheric moisture levels,flat,extract ventilation,uPVC,poor ventilation,none
ground floor flat,cavity,not mentioned,both,not mentioned,"extractors, trickle vents, passive vents",not mentioned,not mentioned,yes,bathroom,bedroom,David_Bly_CM9.pdf,atmospheric moisture conditions,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
two bedroom third floor flat,cavity,1940s,both,not mentioned,trickle vents and passive vents,uPVC,not mentioned,yes,bedroom 1,bedroom 2,David_Bly_LU3 (2).pdf,lack of adequate ventilation,flat,natural ventilation,uPVC,poor ventilation,none
end of terrace dwelling,cavity,1960s,both,north,trickle vents,uPVC,not mentioned,not mentioned,bedroom,lounge,David_Bly_TA6.pdf,insufficient ventilation throughout the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
semi-detached two-bedroom house,cavity,1950,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,not mentioned,bathroom,not mentioned,David_Bly_TN39.pdf,elevated atmospheric moisture levels,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
three-bedroom semi-detached dwelling,cavity,not mentioned,mould,not mentioned,some trickle vents were open and some closed,not mentioned,not mentioned,not mentioned,bedrooms,lounge,David_Bly_RG31.pdf,inadequate ventilation in wet rooms,semi-detached/end terrace,natural ventilation,not mentioned,poor ventilation,none
maisonette,cavity,1965 – 1990,both,east,passive trickle vents and mechanical extraction units,not mentioned,not mentioned,not mentioned,"Bedroom 1, Bathroom",Bedroom 2,David_Bly_PO15.pdf,elevated internal humidity and inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none
end of terrace dwelling,solid,1700s,both,not mentioned,"timber frame casement windows, wall mounted extractor in shower room, ceiling mounted extractor in ensuite",timber frame casement,not mentioned,not mentioned,"master bedroom, lounge",rear utility room,David_Bly_GU31.pdf,ground related moisture affecting skim plaster,semi-detached/end terrace,extract ventilation,timber,rising damp,none
two-bedroom ground floor flat,cavity,circa 2012,both,not mentioned,mechanical extraction and heat recovery unit with vents in all rooms,not mentioned,not mentioned,yes,"Bedroom 1, Bedroom 2","Lounge, Kitchen",David_Bly_GU19.pdf,elevated internal humidity and inadequate ventilation,ground floor flat,MVHR,not mentioned,poor ventilation,none
semi-detached dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction units in bathroom and kitchen, passive vent in bedroom 2",uPVC,not mentioned,yes,bathroom,bedroom 2,David_Bly_SO50.pdf,inadequate ventilation and ongoing moisture generation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,lifestyle factors
ground floor one-bedroom flat,cavity,not mentioned,damp,not mentioned,"forced extractors in the bathroom and kitchen, trickle vents",not mentioned,not mentioned,not mentioned,bathroom,hallway,David_Bly_BN17.pdf,gaps in the damp proof membrane,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none
semi-detached house,cavity,late 50’s early 60’s,both,not mentioned,"uPVC windows with trickle vents, extractor fans",uPVC,not mentioned,not mentioned,"lounge, kitchen","bedroom 1, bedroom 3",David_Bly_SO53.pdf,moisture bridging the cavity walls,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none
modern ground floor flat,timber,not mentioned,both,not mentioned,"extractor fans, trickle vents",uPVC,not mentioned,not mentioned,"kitchen, bedroom 1",bedroom 2,David_Bly_GU9.pdf,elevated internal atmospheric conditions,ground floor flat,extract ventilation,uPVC,poor ventilation,none
semi-detached three-bedroomed dwelling,cavity,circa 2023,mould,not mentioned,continuous running extractor fan with boost function,not mentioned,not mentioned,not mentioned,bathroom,front bedroom,David_Bly_BS35.pdf,inadequate ventilation and extractor performance,semi-detached/end terrace,continuous mechanical ventilation,not mentioned,poor ventilation,none
flat,cavity,1965 – 1990,both,east,"PIV system and mechanical extraction unit in the bathroom, trickle vents in all windows",not mentioned,not mentioned,not mentioned,Lounge,Bedroom 1,David_Bly_PO7.pdf,raised internal humidity and lack of ventilation,flat,PIV,not mentioned,poor ventilation,none
