cause,filename
"The reported damp and mould issues are primarily due to inadequate ventilation, which leads to excessive moisture accumulation and subsequent condensation. Additionally, the presence of water ingress from external sources, such as leaks or poor drainage, further exacerbates the problem by introducing moisture into the building fabric.",0208_RH13.pdf
"The reported damp and mould issues are primarily caused by a historical leak from the neighbouring property, ongoing leaks, and inadequate damp proofing measures, as evidenced by the lack of a clear damp proof course (DPC) and bridging of the existing DPC. Additionally, restricted ventilation due to closed trickle vents, a turned-off mechanical extraction unit, and blocked airbricks and drains contribute to moisture accumulation, while the presence of hygroscopic salts further elevates moisture readings.",0401_BN17.pdf
"The main causes of the reported damp and mould issues are plumbing-related problems, specifically the drainage of loss water from the property above into the lower carpark area around the soil stack, which has affected the external and party walls of the property. Additionally, the presence of significant moisture levels in the loss affected areas suggests that the original drainage issue contributed to prolonged moisture retention in the wall structures.",0121_CO2.pdf
"The mould issues are primarily caused by a combination of inadequate ventilation, leading to condensation, and a potential ongoing internal leak contributing to elevated moisture levels. The existing ventilation systems, including a mechanical extraction unit and a PIV unit, are insufficient to meet the required Whole Dwelling Ventilation Rate, exacerbating the problem in a cold environment with low internal temperatures.",0400_BN17.pdf
"The main causes of the reported issues include inadequate ventilation due to the closed trickle vents and the absence of an extractor fan in the kitchen, which can lead to the accumulation of moisture from cooking and laundry drying. Additionally, the removal of the door between the kitchen and lounge facilitates the free flow of condensation, further contributing to moisture levels within the property.",0261_TA6.pdf
"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly due to the absence of an extractor fan in the kitchen and an underperforming bathroom extractor that is not effectively ducted to the exterior. Additionally, structural factors such as the lack of a damp proof course (DPC) and potential rising damp from ground moisture contribute to the moisture problems, while cracking in the external render may allow moisture ingress.",0756_PO1.pdf
"The main causes of the reported damp and mould issues are inadequate ventilation in both the kitchen and bathroom, leading to elevated humidity levels and condensation. The extraction units in both areas are underperforming, failing to meet the recommended flow rates, and the absence of a vent flap on the tumble dryer exposes it to external elements. Additionally, the poor condition of trickle vents and UPVC windows contributes to draughts and further exacerbates the internal atmospheric moisture.",0363_BH22.pdf
"The main causes of the reported mould issues are inadequate ventilation, particularly due to the bathroom extraction unit not overrunning after use, and the placement of furniture against cooler exterior walls, which creates cold spots conducive to condensation. Additionally, the presence of moisture in the skirting board and the potential for ground moisture intrusion due to the thermoplastic tiles acting as a damp proof membrane contribute to the problem.",0894_SN10.pdf
"The reported mould outbreaks are primarily caused by elevated internal humidity levels due to inadequate ventilation, as the reliance on tenant-operated window opening and the presence of a mechanical extraction unit are insufficient to manage moisture effectively. Additionally, the practice of drying clothing indoors, particularly in the kitchen/lounge area, contributes to increased humidity, creating conditions conducive to mould growth.",0021_GU19.pdf
"The reported damp issues are primarily caused by inadequate ventilation, as the installed units in the bathroom and kitchen are not being utilized, leading to elevated internal humidity levels. Additionally, the presence of contents against external wall surfaces in the utility room contributes to condensation during colder months, exacerbating the damp conditions.",0418_BN18.pdf
"The reported mould growth is primarily due to ineffective ventilation, characterized by the lack of use of the mechanical extraction unit, closed windows, and trickle vents, combined with periods of elevated internal humidity levels. Additionally, the tenant's observation of ongoing ingress after rainfall suggests potential water intrusion issues that may also contribute to the damp conditions.",0419_BN18.pdf
"The main causes of the reported damp and mould issues are poor ventilation in critical areas such as the bathroom and kitchen, leading to inadequate moisture control, and localized condensation resulting from the cooler exterior walls of the bedrooms. Additionally, the operation of the tumble dryer, despite being vented, contributes to localized dampness due to its proximity and the transient nature of moisture release.",0566_HP5.pdf
"The reported issues are primarily due to a lack of adequate ventilation within the property, which prevents proper air circulation and moisture control. Additionally, the storage of contents against external walls restricts natural ventilation, exacerbating the problem.",0203_PO9.pdf
"The main causes of the reported issues are poor insulation of the metal/aluminium construction leading to condensation, and inadequate ventilation due to some trickle vents being fastened closed and insufficient operation of forced air ventilation in the bathrooms, which contributes to localized moisture accumulation.",0186_NW2.pdf
"The reported issues are primarily caused by inadequate ventilation, particularly due to malfunctioning mechanical extraction units in the bathroom and kitchen, which fail to effectively remove moisture. Additionally, elevated internal humidity levels from activities such as drying clothes indoors, combined with colder structural areas leading to condensation, contribute to the mould activity observed. Insufficient and uneven loft insulation further exacerbates the problem by allowing colder surfaces that promote condensation.",0681_LU4.pdf
"The reported issues are primarily due to periods of raised internal humidity levels caused by frequent washing and inadequate drying methods, combined with underperforming mechanical extraction units and a general lack of effective ventilation, despite the presence of passive trickle vents.",0691_LU4.pdf
"Insufficient ventilation during periods of elevated internal humidity levels, combined with contents placed in front of external wall surfaces, are the likely causes of the mould issues reported. The lack of a bathroom extraction unit and the practice of closing windows for security contribute to poor air circulation, which can lead to condensation and mould growth.",0934_SO53.pdf
"The reported issues of damp and mould are primarily caused by inadequate ventilation, as there are no extraction units or trickle vents installed, leading to the accumulation of moist internal air. Additionally, the placement of contents against external walls restricts air circulation, allowing warm moist air to condense on colder surfaces. Persistent elevated humidity levels from occupational activities further exacerbate these conditions, contributing to mould growth.",0935_SO53.pdf
"The reported dampness and mould issues are primarily caused by poor ventilation and inadequate heating within the flat, exacerbated by the tenant's practice of drying clothes indoors, which increases moisture levels. Additionally, external defects such as issues with the balcony and brickwork may allow water ingress, further contributing to the damp conditions.",0038_LU3.pdf
"The main causes of the reported damp and mould issues are inadequate ventilation due to the absence of trickle vents in the windows and insufficient airflow from the kitchen extraction unit, which is not effectively removing moisture generated from daily activities such as washing and cooking.",0937_SP10.pdf
"The main causes of the reported damp and mould issues are inadequate ventilation and high moisture levels from internal activities, such as drying clothes indoors. The existing extraction units are insufficiently effective, particularly in the kitchen, where the airflow does not meet the recommended standards, leading to condensation and subsequent mould growth.",0936_SP10.pdf
"The main causes of the reported mould issues are raised atmospheric moisture levels combined with cold surfaces, which create conditions conducive to mould growth. Additionally, inadequate ventilation in the loft area, particularly during colder weather, exacerbates high relative humidity levels, further promoting mould activity.",0861_RG7.pdf
"The reported issues are primarily due to inadequate ventilation, as evidenced by blocked trickle vents and poorly functioning mechanical extraction units, combined with elevated internal humidity levels from a wet occupancy. Additionally, the improper insulation in the loft space contributes to the conditions that promote surface condensation and mould development.",0620_LU2.pdf
"The main causes of the reported damp and mould issues are high atmospheric moisture levels combined with inadequate forced ventilation in critical areas such as the bathroom and kitchen, leading to conditions conducive to mould growth.",0951_SW6.pdf
"The main causes of the reported damp and mould issues are poor external drainage due to blocked guttering, which prevents rainwater from dispersing properly, and inadequate pointing in the mortar joints that allows moisture to penetrate the brickwork. Additionally, a broken collar on the cast downpipe contributes to water ingress, while wet loose fibre insulation within the wall exacerbates the saturation of the inner leaf.",0630_LU2.pdf
