filename,conclusion,cluster
0121_CO2.pdf,"A detailed moisture survey was carried out (Section 4.0) and showed significant moisture levels were
still present in the loss affected areas of the property. The survey also indicated the loss affected wall
structures were all external and party walls to the neighboring apartments and loss water appears to be
affecting these walls structures from the lower concrete slab construction. Supplied information (Section
6.2) detailed the fact loss water had previously drained into the lower carpark area around the soil stack
which passes down through the surveyed apartment from the property above. The base of the soil stack
was accessed from the kitchen and bathroom areas (Section 6.1) and no obvious leaks or water damage
was noted. In addition there did not appear to be any damage to the plasterboard wall structures
associated with the boxing to the soil stack running down through the surveyed apartment.
All observations made would suggest this is a plumbing related issue and in addition, the fact the flow of
loss water into the lower car park area has ceased, would suggest the original cause has been addressed
and the moisture detected is residual and will therefore reduce over time as the property dries
naturally.",0
0261_TA6.pdf,"The moisture survey (Section 4.0) indicted in general that with exception of some of the skirtings, the
wall structures displayed dry readings. Both the bathroom and kitchen had a vinyl floor covering adding
to the performance of the thermoplastic floor tile DPM present and would indicate the DPM is effective
within this property at present.
It is the author’s opinion the floor is likely to be a ground supported concrete slab and the thermoplastic
floor tiles are likely to be acting as a DPM within the structure. That being the case, high non-invasive
floor readings and elevated skirting readings are therefore likely to be ground moisture. Subsequently
with no internal damage evident there is no current cause for concern at this property as the tiles are
still performing their primary function. To accurately confirm the construction, a localized excavation of
the floor slab would be required.
The neighbouring property was noted to be 9 courses of brick higher and a vertical DPC could not be
ascertained (see section 5.1).
During the survey it was noted the door separating the kitchen and lounge had been removed allowing
the free flow of condensation from cooking to dissipate between both rooms. Additionally the tenant
confirmed that he dries his laundry in the hallway twice a week, further adding moisture into the
property. Despite the addition of excess moisture into the building there were no areas of concern or
indications of any related issues.
The extractor in the bathroom was an Energysaver™ Sensamatic (Section 5.5) however it was not in
operation at the time of survey. The type of unit fitted operates via RH settings and aligns to the tenant
input that it operates after the switch has been turned off following immediate use of the bathroom. All
windows had trickle vents fitted and were in the closed position during the survey. It was also noted
there was no extractor fitted to the kitchen.",1
0021_GU19.pdf,"A moisture survey was undertaken throughout the flat which confirmed a dry structure and, regarding
how the flat is currently being ventilated, other than relying on the tenant opening windows there is a
working mechanical extraction and heat recovery unit installed with vents within the ceiling in all rooms.
Internal observations revealed mould outbreaks on contents with the tenant confirming they have had
to dispose of a number of items over the years. In addition, musty odours were clearly apparent
throughout the flat with clothing being dried mainly within the kitchen/lounge area and a number of
contents items evident in front of external wall surfaces.
The thermal imagery survey (section 5.0) revealed cooler areas between contents and wall structures
and, calculations made revealed current humidity levels at wall surfaces are sufficient to sustain a wide
variety of moulds.
In conclusion it is the opinion of the author based upon observations made and a dry structure recorded
any outbreak of mould can be attributed to elevated internal humidity levels and inadequate
ventilation. This is supported by the fact mould on contents items can only be sustained elevated
atmospheric moisture levels.",3
0203_PO9.pdf,"There are two adults and two children living at the property with one adult and the younger child
present for the majority of the day.
There are 14 washing loads processed per week, dried with the aid of a condenser dryer located in the
conservatory.
We are advised the odd item of clothing is dried on the radiator at the rear of the property in the
lounge.
There are no mechanical extraction units in the property, there is however a passive vent in the kitchen.
We note one trickle vent which is located within the bathroom; there is therefore very little ventilation
within the property as a whole.
There are a number of contents being stored on external walls, notably within the main bedroom at the
front of the property.
At the time of the survey, no condensation was present.
Mould noted at the time of the survey all relate to external walls, mainly in the hall, conservatory and
main bedroom.
A detailed moisture map was created at various location points throughout the property and, at the
time of our visit, no high moisture readings were recorded.
In conclusion, it is the opinion of the author conditions noted are most likely due to a lack of ventilation
within the property. Contents being stored on external walls are also likely to contribute to reported
issues as it does not allow for natural ventilation to occur.",3
0186_NW2.pdf,"A detailed moisture survey carried out revealed that all areas at the time of survey were dry with the
exception to two small isolated areas which is believed not to have any relevance to the investigation
(see Section 5.0). The property has been stood vacant for some considerable time and is undergoing
some alterations the two small areas that recorded slight elevated REL readings have no evidence of
moisture ingress.
Following our investigation it is the opinion of the author that due to the south west facing aspect and
the construction being uninsulated metal/aluminium allowing condensation to occur. Surface moisture
is then able to migrate down the structure settling on the 18mm chipboard floor.
The area of damage is localised to the corner which is constructed of plastic coated aluminium framed
sealed units fixed to steel vertical beams thus able to create a greenhouse effect
During our survey all ventilation points were checked and were found to be trickle vents with forced air
ventilation to the bathroom and en-suite. Some of the trickle vents were fastened closed and the forced
air units with the bathrooms only had an over run of 65 seconds.",1
0038_LU3.pdf,"The tenant has resided at flat for 12 years and reports dampness in the lounge to the corner of the
external walls along with the development of mould during the period. He is very specific with regards
to his concerns of the issues raised.
A moisture profile of the structure was carried out to all accessible areas and some elevated readings
were noted (section 4.0).
With regard to controlling atmospheric conditions, there are no extraction units in the flat and trickle
vents were noted some of which were open at the time of the survey. Passive vents within the kitchen
cupboards are noted and will introduce cooler air into this location. We understand the tenant dries
washed clothes on the radiators which will add a significant moisture load to the internal atmospheric
conditions.
We are advised the council has recently re-artexed and emulsioned a section of ceiling in the lounge and
observations suggest that at the time of redecoration the concrete ceiling may not have been dry with
paint affected water droplets noted to the ceiling (section 6.1.2).
Mould was noted to areas of the ceiling in the open-plan kitchen and is close in location to the external
wall and balcony area above. Within the lounge the main concern relates to the balcony above and
observations made along with recorded moisture readings suggest that water may be able to migrate
into the flat from this balcony and further investigation is recommended.
It is the opinion of the author the presence of mould through a number of areas of the flat is mainly
driven by internal atmospheric conditions and the lack of ventilation and adequate heating.
Passive vents and a gap beneath the front door serve to introduce cooler air from the exterior and, with
ongoing internal activities, leads to the prevailing conditions for mould growth.
In addition, it is also the opinion of the author that external defects including the balcony and defects
noted to the brickwork (section 6.4.1) could also be contributing to a damp and colder structure.",3
0104_BN18.pdf,"We understand two adults and five children moved into the property in December 2014 with the adults
currently not working at present. There are 7 washing loads processed per week and dried with the aid
of a tumble dryer which is located in the shed and no clothing is reported to be dried within the house.
At the time of our survey condensation was noted to a number of the uPVC Windows and to the
underside of the loft hatch. Widespread mould was also noted at time to the majority of the rooms on a
number of the external walls and ceilings.
At the time of the survey there were a couple of windows slightly open as were some of the trickle
vents. There are two extraction units in the property both operating via pull cords separate to the light
switches. On test the 100mm diameter Kitchen extractor recorded a flow rate of 0.4 m/s which equates
to 3.14 l/s. This is below the current recommended flow rate of 29 l/s when located adjacent to a hob
and 59 l/s when located elsewhere.
The 100mm diameter bathroom extractor recorded a flow rate of 0.8 m/s which equates to 6.28 l/s and
is also below the current recommended flow rate of 15 l/sec when located in a bathroom. Both units
were noted to be in a poor condition and no overruns were recorded where 15 minutes is a current
recommendation for both extraction units when switched off.
A visual inspection of the loft was made and condensation was noted forming on the underside of the
hatch itself. Atmospheric readings were recorded within the loft area which gave a very high RH reading
indicating high moisture levels present in the atmosphere. Also noted was 3”- 4"" of insulation only. With
the humidity levels close to that externally, there is adequate airflow in the loft and good insulation is
recommended.
A thermal imaging survey showed a number of cold areas on the external walls with contents placed up
against them. This activity will restrict the natural air flow within the location leading to areas of still air
against cold exterior walls.
The moisture survey in general indicated a dry structure. However, raised moisture levels were recorded
to the corner on the external wall at the rear of the property in the lounge. In this area mould was
evident and damage to the decorative finish. A visual inspection within this area on the outside revealed
some areas of poor pointing. We are to understand from the tenant however that it is within this
location where there was a previous external issue with the guttering.
It is the opinion of the author the conditions noted at the time of our survey are due in the main to a
lack of adequate ventilation within the property with contributing factors being low performing
extraction units and the build-up of cold spots on the external walls throughout the property. In
addition, the lack of adequate insulation within the loft space is likely leading to cold bridging being a
contributory factor for mould development at the wall/ceiling junction.",3
0157_LE7.pdf,"A moisture survey found the property to be generally in a dry condition across all wall and areas with
the exception of the corner of the bedroom as identified in the previous survey report completed by
Wilson Associates.
There are signs of slightly raised moisture levels detected in the laminate flooring along the perimeter of
the master bedroom, study and lounge along the external wall fronting onto the garden area. It is
difficult to obtain true moisture levels as the laminate laid in all areas prevents access to the screed
below. However some moisture is migrating into the laminate which indicates there may not be a
membrane laid or moisture is migrating into the edge of the laminate. Moisture levels are borderline
and at present there does not appear to be any swelling of the laminate boards.
The moisture affecting the internal wall and floor areas may be penetrating moisture which is bridging
the wall construction via the external wall. At the point where the moisture is located there is a section
of slabs located against the external wall where they extend above the DPC. The vertical edge of the slab
has joint mortar applied but the horizontal joint is free of mortar. This will allow rain water to saturate
the brickwork above DPC level and moisture may consequently migrate into the corner eventually
saturating the blockwork. The wall between the affected flat and the adjoining flat may be connected
without a vertical DPC thus allowing moisture to affect the corner of the bedroom. Moisture may then
migrate into the floor slab and travel along the perimeter of the floor areas.
The kitchen has an over hob extractor fan which vents externally. The fan is operated manually and
relies on the occupants operating when cooking and allowing it to run on after cooking to vent humid air
away from the living areas.
The bathroom has an extractor fan fitted. The switch for the fan is located in the hallway and is
independent from the light switch. It is reliant on the occupants operating the fan unit and there is no
overrun. The fan could be heard to be running but there appears to be a blow back flap to prevent
external air venting into the property when the unit is not in use. At the time of our inspection the flap
appeared to be stuck in the closed position when the fan was operating. Consequently moist air will vent
throughout the property and increase the humidity which can lead to conditions favourable for the
formation of mould.
A section of wall plaster above the fan unit showed increased moisture levels. This may be where moist
air is being pressurized up the cable conduit and consequently saturating the adjoining plaster.
It appears that the mould treatment and redecoration
completed prior to the current tenant occupying
the property along with the tenants lifestyle are
currently minimising the occurrence of mould
growth. However there is evidence of mould
growth on the rear panel of the chest of drawers in
the bedroom. This indicates that internal humidity
rather than penetrating damp is an issue.
The paint on the reveal around the bathroom window is peeling and there are raised moisture levels in
the plasterboard. This may in part be related to increased moisture activity in the bathroom but may
also be due to cold bridging occurring from the steel box lintel. Some moisture activity is generally
expected around window reveals but in this case regular occurrence of high humidity will be gradually
saturating the exposed plaster.",1
0019_EX14.pdf,"A number of moisture readings were recorded throughout the property which did not reveal any elevated levels that could suggest structural
dampness.
With regard to how this property is ventilated there are working mechanical extraction units in the downstairs kitchen, downstairs WC and the
upstairs bathroom.
All are in working order and run intermittently extracting to the exterior. In addition, a cooker hood is noted, however this does not vent to the exterior
and could therefore be a filter mechanism only. From a passive ventilation perspective, at the time of the survey all trickle vents were open.
The tenant advised a history of mould in a number of areas however, taking into consideration the very recent completion of redecoration works,
the only mould evident was considered to be minor and found within bedroom 1 and at the base of the wall in the lounge.
However, the tenant did produce photographic evidence confirming her concerns.
The thermal survey set out below clearly confirms that either condensation was active or, conditions were as such at wall surfaces mould is able
to be sustained when conditions persist for periods of time.
In conclusion based upon a dry structure and observations made and the thermal survey, it is the opinion of the author issues raised by the tenant
are associated by periods of elevated humidity levels and inadequate ventilation.
This is supported by drying clothes internally, leaving doors open of wet rooms (kitchen and bathroom) after use and insufficient door undercuts
which provide air circulation through the property but more importantly, increase the performance of extraction devices with make-up air being
drawn in collecting the moist air for its removal.
Mould Guidance Incorporated
1 0
9
pU
W C
E
L o
1
u
1
n g
G
e
K i
1
t
3
c
F
h e n
1 2
Technical Structural Health Survey Report / cont...
Technical Structural Health Survey Report",3
0046_ME1.pdf,"A number of moisture readings were recorded with the main focus of attention relating to surface areas where mould has formed.
These readings confirmed a dry structure.
With regard to provisions of how the flat is currently being ventilated, there is a working mechanical extraction unit fitted in the bathroom which
is currently non-compliant with building regs part F with no forced ventilation measures in the kitchen.
Passive trickle vents are fitted to the windows with all closed and noted to be in a poor state of repair.
General internal observations throughout the flat revealed mould mainly on external wall surfaces, on the uPVC window frames and internal doors
and associated frames. There was also evidence of mould on contents (see observations).
In addition to the mould, decorative spoiling in the form of staining was apparent on large wall surface areas and is likely to be associated with
periods of surface condensation as highlighted in the thermal imaging section set out below.
External observations did not reveal any areas of concern that could be possible contributor to the internal conditions.
In conclusion the concerns of the tenant are, in the opinion of the author, likely to be driven by periods of elevated internal humidity levels and
inadequate ventilation.
The conclusion is supported by the fact there is no mechanical extraction unit in the kitchen, the unit in the bathroom is operating below the
suggested 15 l/s as highlighted in building regs part F and, is not used by the resident, all trickle vents are in a poor state of repair and closed plus,
current surface conditions as determined in the thermal imaging section indicated condensation was occurring at the time of this survey.
In addition, mould on contents items is only sustained by periods of elevated internal atmospheric moisture and not structural dampness.
With inadequate and non-utilized ventilation measures in a property, when moisture is generated by everyday activities, the moisture laden
warmer air circulates the property as a whole when doors are left open. This is due to difference in vapor pressure whereby higher vapor air
moves to areas of lower vapor in the air and, can lead to the reported issues.
Mould Guidance Incorporated
Technical Structural Health Survey Report",3
