property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extraction unit in the bathroom,not mentioned,not mentioned,yes,children's bedroom,kitchen,0208_RH13.pdf
ground floor apartment in a purpose built block,solid,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0121_CO2.pdf
mid-block ground floor flat,cavity,pre-1960,damp,not mentioned,"extractor in bathroom, trickle vents on windows",uPVC,not mentioned,yes,"bathroom, kitchen",not mentioned,0261_TA6.pdf
end of terrace semi-detached 2 bedroom house,not mentioned,late 1970s,both,not mentioned,"one trickle vent in bathroom, passive vent in kitchen",uPVC,2 adults and 2 children,yes,"main bedroom, conservatory",hall,0203_PO9.pdf
self-contained flat,not mentioned,circa 2006,damp,south west,trickle vents with forced air ventilation,aluminium,not mentioned,not mentioned,south west corner,not mentioned,0186_NW2.pdf
three-bedroom end of terrace house,cavity,circa 1950s,both,not mentioned,extractors and trickle vents,uPVC,2 adults and 5 children,no,lounge,not mentioned,0104_BN18.pdf
ground floor flat,cavity,not mentioned,both,not mentioned,extractor fan in kitchen and bathroom,not mentioned,not mentioned,not mentioned,bedroom,"study, lounge/kitchen",0157_LE7.pdf
end terrace one-bedroom bungalow,cavity,late 1950s,damp,not mentioned,trickle ventilation and extractor in kitchen,PVCu,not mentioned,not mentioned,bathroom,not mentioned,0172_ME5.pdf
ground floor flat in a modern purpose built block,cavity,not mentioned,mould,north east,not mentioned,not mentioned,not mentioned,not mentioned,built-in wardrobe,en-suite bathroom,0205_RG27.pdf
three-bedroomed semi-detached house,cavity,not mentioned,both,not mentioned,"trickle vents, mechanical extraction units",not mentioned,6 occupants,yes,Bedroom 1,"Bathroom, Bedroom 2",0159_LU1.pdf
lower ground floor flat in a large terrace property,solid,pre-1965,both,not mentioned,extractor fans in bathroom and kitchen areas,not mentioned,not mentioned,not mentioned,bathroom,middle bedroom,0284_TN37.pdf
ground floor and basement flats in a large property,solid,early 1900s,both,not mentioned,ceiling mounted extractor fan,not mentioned,4 members of the family,not mentioned,bathroom,front room,0216_SE4.pdf
ground floor flat in a purpose built block,solid,late 1930s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0240_SW6.pdf
ground floor flat in a modern purpose built block,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen/lounge,not mentioned,0151_HA4.pdf
ground floor flat in a purpose built block,cavity,not mentioned,both,north,"trickle vents, wall mounted bathroom extractor",uPVC,not mentioned,not mentioned,master bedroom and bathroom,not mentioned,0126_CR3.pdf
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"passive vents, extractor fan",uPVC,not mentioned,not mentioned,"bathroom, rear bedroom",kitchen,0136_DT5.pdf
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extractor fan in bathroom and kitchen,not mentioned,not mentioned,not mentioned,kitchen,master bedroom,0229_SS13.pdf
mid-terrace dwelling,cavity,2007,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0235_SW12.pdf
maisonette,solid,late 1800’s to early 1900's,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,party wall,bathroom,0294_W14.pdf
ground floor flat,solid,1980s,both,not mentioned,"100mm automatic forced vent (not working), no trickle vents",not mentioned,2 adults,yes,bathroom,hall,0274_TA9.pdf
2 Bedroom end terrace house,cavity,mid to late 1930's,both,not mentioned,"bathroom extractor fan not working, no kitchen extraction fan",not mentioned,2 Adults and 2 Children plus 1 small dog,yes,kitchen and bathroom,not mentioned,0257_TA6.pdf
three-bedroom mid-terraced house,solid,not mentioned,both,not mentioned,"kitchen 150 mm diameter fan airflow 2.6 m/s, bathroom 100 mm diameter fan airflow 1 m/s",double-glazed UPVC,4 adults 1 dog (small),yes,"lounge, bedroom 3",bedroom 2,0247_TA6.pdf
one bedroom first floor flat,solid,not mentioned,both,not mentioned,"trickle vents, extractor fans",uPVC,1 adult and 2 infants,yes,bedroom,"kitchen, lounge, bathroom",0141_E7.pdf
first/second floor apartment,cavity,2005,both,not mentioned,passive vents located above the bedroom windows,metal framed,not mentioned,not mentioned,"galleried lounge area, kitchen","small bedroom, bathroom",0179_N19.pdf
two bedroom first floor flat,cavity,1960s,both,not mentioned,trickle vents,not mentioned,not mentioned,not mentioned,"bathroom, bedroom",not mentioned,0117_CM18.pdf
end-of-terraced three bedroom house,cavity,pre-date 1965,both,not mentioned,"trickle vents, no forced ventilation in kitchen or bathroom",uPVC,2 adults and 1 dog,not mentioned,"bedroom 2, bedroom 3",not mentioned,0265_TA8.pdf
three-bedroom end terrace house,cavity,2007,both,not mentioned,retrofit ventilation slots in the laps of the roofing felt,not mentioned,1 x Adult and 1 x 15-year-old male,not mentioned,1st floor front bedroom,loft,0191_PL25.pdf
semi-detached house,cavity,not mentioned,mould,not mentioned,extractors,not mentioned,not mentioned,not mentioned,rear lounge,not mentioned,0115_CH7.pdf
large detached dwelling,solid,1750,both,south,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,hallway,0227_SO51.pdf
large detached Grade II listed dwelling,solid,circa 1700,both,not mentioned,upgrading of the extractor fan units to the bathroom and shower room is recommended,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0226_SO51.pdf
single storey extension to a land manor house,cavity,1980s,damp,north,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,dining area,0280_TN3.pdf
large detached house converted into two flats,solid,not mentioned,both,not mentioned,"passive vents, extraction units",wood framed,1 adult and 1 child,not mentioned,"kitchen, Bedroom 1","Bedroom 2, lounge",0184_NW10.pdf
semi-detached brick built property,cavity,circa 1970,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0112_CA1.pdf
ground floor flat,cavity,circa 2013,both,not mentioned,positive air input system,uPVC,not mentioned,yes,bedroom,bathroom,0185_NW11.pdf
1st floor apartment,not mentioned,not mentioned,both,not mentioned,7 roof vents installed,not mentioned,not mentioned,not mentioned,bedroom,kitchen,0234_SS5.pdf
mid-terraced dwelling,cavity,pre-1965,damp,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,Bathroom,not mentioned,0275_TA9.pdf
end of terrace dwelling,solid,early 1900s,both,not mentioned,passive vents and wall mounted extractor unit,uPVC,not mentioned,not mentioned,kitchen and bathroom,not mentioned,0129_CT9.pdf
three bedroom end terrace Cornish Unit,solid,1950s,both,not mentioned,no kitchen or bathroom ventilation,uPVC,2 Adults,not mentioned,"bathroom, bedroom 1","lounge, hallway",0256_TA6.pdf
semi-detached dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mat well,playroom,0193_PO15.pdf
4-bedroom converted water tower,solid,1898,both,west,not mentioned,double-glazed,not mentioned,not mentioned,sitting room,not mentioned,0114_CF23.pdf
end terrace one bedroom ground floor maisonette,solid,1950's,both,not mentioned,not mentioned,top hung,2 adults,not mentioned,rear bedroom,not mentioned,0260_TA6.pdf
ground floor flat in a purpose built block,cavity,not mentioned,not mentioned,north,trickle vents,not mentioned,not mentioned,not mentioned,two bedrooms,not mentioned,0212_RM3.pdf
large detached property with six self-contained flats,cavity,early 1900s,both,not mentioned,"extractors, trickle vents",uPVC,2 adults and 2 children,yes,lounge,bathroom,0196_PO21.pdf
ground floor two-bedroom flat,cavity,early 1980s,both,not mentioned,trickle vents,PVCu,"5 persons, 1 dog and 2 cats",not mentioned,"Kitchen, Bedroom 1","Bathroom, Bedroom 2",0222_SN10.pdf
single storey office converted from a Fire Station,solid,not mentioned,damp,west,not mentioned,uPVC,not mentioned,not mentioned,communal hallway,open plan office area,0197_PO21.pdf
one bedroom ground floor flat,cavity,late 1970s to early 1980s,both,not mentioned,"extraction units, trickle vents",not mentioned,1 adult,yes,every room,not mentioned,0223_SN10.pdf
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,bedroom,0298_W9.pdf
semi-detached house converted into flats,timber,early 1900s,both,not mentioned,not mentioned,PVCu,not mentioned,not mentioned,Flat 1 Bedroom,Flat 2 Bedroom,0217_SE5.pdf
