property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary
two-bedroom end of terrace dwelling,cavity,1965,both,not mentioned,"100mm extraction units in kitchen and bathroom, trickle vents on windows",uPVC,not mentioned,yes,kitchen,bathroom,0044_LU4.pdf,lack of adequate heating and ventilation,semi-detached/end terrace,extract ventilation,uPVC,insufficient heating,poor ventilation
two-bedroom end of terrace dwelling,cavity,1965,both,not mentioned,"100mm extraction units in kitchen and bathroom, trickle vents on windows",uPVC,not mentioned,yes,kitchen,bathroom,0163_LU4.pdf,lack of adequate heating and ventilation,semi-detached/end terrace,extract ventilation,uPVC,insufficient heating,poor ventilation
semi-detached,cavity,1990 - present,mould,east,"mechanical extraction units in kitchen, WC, and bathroom; trickle vents",not mentioned,not mentioned,yes,bedroom 1,"bathroom, lounge",0019_EX14.pdf,elevated humidity levels and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
end of terrace dwelling,solid,not mentioned,damp,not mentioned,"extractor in kitchen, trickle vents closed",uPVC,3 people,yes,"lounge, bedroom 2","bedroom 1, bathroom",0030_LU1.pdf,elevated internal humidity with closed trickle vents,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
end of terrace dwelling,solid,not mentioned,damp,not mentioned,"extractor in kitchen, trickle vents closed",uPVC,3 people,yes,"lounge, bedroom 2","bedroom 1, bathroom",0158_LU1.pdf,elevated internal humidity with closed trickle vents,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
ground floor flat in a purpose-built block,solid,pre-1965,both,not mentioned,humidity controlled extractor fans in the kitchen and bathroom,uPVC,not mentioned,not mentioned,bathroom,kitchen,0017_E7.pdf,condensation and ineffective ventilation,ground floor flat,extract ventilation,uPVC,poor ventilation,none
modern mid-terrace dwelling,cavity,not mentioned,mould,not mentioned,extractor fans and trickle vents,uPVC,not mentioned,not mentioned,"Master Bedroom, Bed 2",not mentioned,0073_RH11.pdf,inadequate bathroom ventilation,mid terrace,extract ventilation,uPVC,poor ventilation,none
ground floor flat,cavity,1950s-60s,both,not mentioned,"extraction unit in bathroom, trickle vents open",uPVC,1 adult and 1 child,no,bedroom 1,bathroom,0078_SN8.pdf,condensation due to inadequate ventilation,ground floor flat,extract ventilation,uPVC,poor ventilation,none
one-bedroom ground floor flat,cavity,summer of 2024,both,not mentioned,extractors,not mentioned,1 adult,not mentioned,not mentioned,not mentioned,0072_RH10.pdf,residual construction moisture,ground floor flat,extract ventilation,not mentioned,residual construction moisture,none
one-bedroom ground floor flat,cavity,summer of 2024,both,not mentioned,extractors,not mentioned,1 adult,not mentioned,not mentioned,not mentioned,0207_RH10.pdf,residual construction moisture,ground floor flat,extract ventilation,not mentioned,residual construction moisture,none
ground floor maisonette,cavity,1990 - present,both,not mentioned,"lack of trickle vents, reliance on purge ventilation",not mentioned,not mentioned,not mentioned,"Bedroom 1, Hallway",not mentioned,0069_RG2.pdf,inadequate ventilation and elevated atmospheric moisture,ground floor flat,natural ventilation,not mentioned,poor ventilation,none
ground floor flat,cavity,not mentioned,mould,not mentioned,trickle vents and extraction units,not mentioned,not mentioned,not mentioned,Bedroom 1,Bedroom 2,0039_LU3.pdf,furniture blocking airflow causing cold spots,ground floor flat,extract ventilation,not mentioned,lifestyle factors,none
ground floor flat,cavity,not mentioned,mould,not mentioned,trickle vents and extraction units,not mentioned,not mentioned,not mentioned,Bedroom 1,Bedroom 2,0162_LU3.pdf,furniture blocking airflow causing cold spots,ground floor flat,extract ventilation,not mentioned,lifestyle factors,none
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"background trickle vents, forced extraction devices",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,0012_CR8.pdf,structural dampness from inadequate membrane installation,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none
