property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary,analysis
two-bedroom end of terrace dwelling,cavity,1965,both,not mentioned,"100mm extraction units in kitchen and bathroom, trickle vents on windows",uPVC,not mentioned,yes,kitchen,bathroom,0044_LU4.pdf,lack of adequate heating and ventilation,semi-detached/end terrace,extract ventilation,uPVC,insufficient heating,poor ventilation,"The main causes of the reported damp and mould issues are poor ventilation, particularly due to blocked air bricks restricting cross ventilation, and inadequate insulation in key areas such as the bathroom and kitchen. Additionally, the presence of high relative humidity levels, combined with cold surface temperatures leading to condensation, further exacerbates the moisture problems within the property."
two-bedroom end of terrace dwelling,cavity,1965,both,not mentioned,"100mm extraction units in kitchen and bathroom, trickle vents on windows",uPVC,not mentioned,yes,kitchen,bathroom,0163_LU4.pdf,lack of adequate heating and ventilation,semi-detached/end terrace,extract ventilation,uPVC,insufficient heating,poor ventilation,"The main causes of the reported damp and mould issues in the property include inadequate ventilation, particularly in the bathroom and kitchen, which traps atmospheric moisture, and the use of a tumble dryer vented into the lounge, contributing to high humidity levels. Additionally, water ingress from prolonged flooding of flat roofs and blocked drains has led to significant water damage, particularly affecting the party wall and internal structures. The presence of poor loft insulation further exacerbates condensation issues, particularly at the roof eaves."
semi-detached,cavity,1990 - present,mould,east,"mechanical extraction units in kitchen, WC, and bathroom; trickle vents",not mentioned,not mentioned,yes,bedroom 1,"bathroom, lounge",0019_EX14.pdf,elevated humidity levels and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and high internal humidity levels. The ventilation system is not effectively removing moisture, particularly in areas like the bathroom and kitchen, where moisture generation is high. Additionally, the presence of colder surfaces due to potential insulation issues contributes to condensation, which further exacerbates mould growth."
end of terrace dwelling,solid,not mentioned,damp,not mentioned,"extractor in kitchen, trickle vents closed",uPVC,3 people,yes,"lounge, bedroom 2","bedroom 1, bathroom",0030_LU1.pdf,elevated internal humidity with closed trickle vents,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The reported damp issues are primarily caused by poor ventilation, as evidenced by closed trickle vents throughout the property and the absence of an extraction fan in the bathroom, leading to elevated internal humidity levels. Additionally, the installation of external cladding that does not extend to the top of the structure may be contributing to cold spots on the walls, exacerbating condensation problems. The practice of drying clothes on radiators further increases moisture levels indoors, compounding the risk of damp and mould."
end of terrace dwelling,solid,not mentioned,damp,not mentioned,"extractor in kitchen, trickle vents closed",uPVC,3 people,yes,"lounge, bedroom 2","bedroom 1, bathroom",0158_LU1.pdf,elevated internal humidity with closed trickle vents,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, particularly in areas like the bathroom and kitchen, which leads to high internal humidity levels. Additionally, the conversion from electric to gas heating may have altered the moisture dynamics within the flat, while the cold exterior walls contribute to condensation, exacerbating the mould growth."
ground floor flat in a purpose-built block,solid,pre-1965,both,not mentioned,humidity controlled extractor fans in the kitchen and bathroom,uPVC,not mentioned,not mentioned,bathroom,kitchen,0017_E7.pdf,condensation and ineffective ventilation,ground floor flat,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation and high internal humidity levels, which are exacerbated by the building's construction prior to 1965 that lacks a proper damp proof membrane. The high relative humidity readings, particularly in the bathroom and kitchen, indicate excessive moisture generation from daily activities, while the closed windows limit air circulation, leading to condensation and creating an environment conducive to mould growth."
modern mid-terrace dwelling,cavity,not mentioned,mould,not mentioned,extractor fans and trickle vents,uPVC,not mentioned,not mentioned,"Master Bedroom, Bed 2",not mentioned,0073_RH11.pdf,inadequate bathroom ventilation,mid terrace,extract ventilation,uPVC,poor ventilation,none,"The reported mould issues in the property are primarily caused by inadequate ventilation, particularly in the bathroom, which relies heavily on a potentially ineffective extractor fan. Additionally, the presence of high relative humidity levels, especially in the bedrooms, contributes to moisture accumulation, creating an environment conducive to mould growth. The combination of these factors, along with the potential for moisture ingress through the building materials, facilitates the development of mould in the affected areas."
ground floor flat,cavity,1950s-60s,both,not mentioned,"extraction unit in bathroom, trickle vents open",uPVC,1 adult and 1 child,no,bedroom 1,bathroom,0078_SN8.pdf,condensation due to inadequate ventilation,ground floor flat,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, leading to high relative humidity levels and condensation, particularly in areas with cold surfaces. The lack of adequate airflow, especially in enclosed spaces like cupboards and bathrooms, exacerbates moisture retention. Additionally, the construction characteristics of the property, such as cavity brick walls and dry lining, may contribute to moisture retention and cold spots, further promoting mould growth."
one-bedroom ground floor flat,cavity,summer of 2024,both,not mentioned,extractors,not mentioned,1 adult,not mentioned,not mentioned,not mentioned,0072_RH10.pdf,residual construction moisture,ground floor flat,extract ventilation,not mentioned,residual construction moisture,none,"The main causes of the reported damp and mould issues in the property appear to be high moisture levels within the structure, likely due to inadequate ventilation and potential structural dampness from the dob and dab wall construction. The consistently high relative humidity levels, particularly in the kitchen/lounge and bedroom, combined with insufficient airflow from the installed extraction systems, contribute to an environment conducive to mould growth. Additionally, the reduced construction density of the skirting boards may exacerbate the visibility of mould outbreaks."
one-bedroom ground floor flat,cavity,summer of 2024,both,not mentioned,extractors,not mentioned,1 adult,not mentioned,not mentioned,not mentioned,0207_RH10.pdf,residual construction moisture,ground floor flat,extract ventilation,not mentioned,residual construction moisture,none,"The main causes of the reported damp and mould issues are poor ventilation and high relative humidity levels, particularly in areas like the kitchen and bathroom, which contribute to condensation. Additionally, the proximity of the wardrobe to the exterior wall creates cold spots that further promote condensation under certain conditions. Residual moisture in structural elements, such as the kickboards in the kitchen, also indicates ongoing moisture issues that can lead to mould growth."
