filename,heating_system
0021_GU19.pdf,Not mentioned
0038_LU3.pdf,Not mentioned
0019_EX14.pdf,Gas central heating
0046_ME1.pdf,Gas central heating
0062_PO3.pdf,Gas central heating
0042_LU4.pdf,Not mentioned
0031_LU1.pdf,Not mentioned
0070_RG29.pdf,Gas central heating
0063_PO5.pdf,Not mentioned
0066_PO8.pdf,Gas central heating
0072_RH10.pdf,Not mentioned
0080_SO19.pdf,Not mentioned
0081_SO31.pdf,Not mentioned
0067_PO8.pdf,Not mentioned
0073_RH11.pdf,Not mentioned
0039_LU3.pdf,Not mentioned
0047_ME1.pdf,Gas central heating
0043_LU4.pdf,Gas central heating
0030_LU1.pdf,Not mentioned
0027_IP25.pdf,Gas central heating
0057_NW6.pdf,Not mentioned
0007_CM9.pdf,Gas central heating
0003_BR1.pdf,Not mentioned
0016_DA16.pdf,Gas central heating
0032_LU1.pdf,Not mentioned
0010_CR0.pdf,Gas central heating
0041_LU4.pdf,Not mentioned
0045_ME1.pdf,Gas central heating
0054_ME4.pdf,Gas central heating
0061_PO20.pdf,Not mentioned
0055_ME5.pdf,Not mentioned
0011_CR0.pdf,Gas central heating
0089_TA6.pdf,Not mentioned
0033_LU1.pdf,Gas central heating
0013_CT5.pdf,Gas central heating
0040_LU4.pdf,Not mentioned
0092_TN22.pdf,Gas central heating
0028_KT7.pdf,Gas central heating
0077_SM2.pdf,Not mentioned
0006_CM9.pdf,Gas central heating
0048_ME1.pdf,Not mentioned
0036_LU2.pdf,Gas central heating
0017_E7.pdf,Gas central heating
0074_RH19.pdf,Gas central heating
0056_NG17.pdf,Not mentioned
0026_HP23.pdf,Gas central heating
0051_ME2.pdf,Gas central heating
0025_GU9.pdf,Gas central heating
0058_NW7.pdf,Gas central heating
0093_TN39.pdf,Not mentioned
0001_BN17.pdf,Not mentioned
0082_SO31.pdf,Not mentioned
0064_PO6.pdf,Gas central heating
0090_TA9.pdf,Gas central heating
0049_ME2.pdf,Gas central heating
0060_PO15.pdf,Gas central heating
0044_LU4.pdf,Not mentioned
0065_PO7.pdf,Gas central heating
0029_L19.pdf,Gas central heating
0084_SO50.pdf,Not mentioned
0075_RH20.pdf,Not mentioned
0050_ME2.pdf,Gas central heating
0004_BS35.pdf,Gas central heating
0022_GU24.pdf,Not mentioned
0085_SO53.pdf,Gas central heating
0002_BN43.pdf,Gas central heating
0037_LU3.pdf,Gas central heating
0094_W12.pdf,Gas central heating
0087_SS15.pdf,Gas central heating
0009_CM9.pdf,Not mentioned
0053_ME4.pdf,Gas central heating
0068_RG1.pdf,Not mentioned
0014_DA11.pdf,Not mentioned
0083_SO50.pdf,Gas central heating
0024_GU31.pdf,Not mentioned
0059_PO1.pdf,Not mentioned
0088_SW6.pdf,Not mentioned
0035_LU2.pdf,Not mentioned
0015_DA12.pdf,Gas central heating
0020_GL10.pdf,Not mentioned
0052_ME3.pdf,Gas central heating
0078_SN8.pdf,Electric storage heaters or radiators
0069_RG2.pdf,Gas central heating
0071_RG31.pdf,Not mentioned
0018_EC1M.pdf,Not mentioned
0086_SS12.pdf,Not mentioned
0012_CR8.pdf,Gas central heating
0008_CM9.pdf,Gas central heating
0034_LU1.pdf,Not mentioned
0023_GU3.pdf,Not mentioned
0076_SE6.pdf,Gas central heating
0079_SO16.pdf,Not mentioned
0091_TN18.pdf,Gas central heating
0005_CM3.pdf,Not mentioned
0208_RH13.pdf,Not mentioned
0121_CO2.pdf,Not mentioned
0261_TA6.pdf,Not mentioned
0203_PO9.pdf,Gas central heating
0186_NW2.pdf,Gas central heating
0104_BN18.pdf,Not mentioned
0157_LE7.pdf,Not mentioned
0172_ME5.pdf,Not mentioned
0205_RG27.pdf,Gas central heating
0159_LU1.pdf,Gas central heating
0284_TN37.pdf,Not mentioned
0216_SE4.pdf,Not mentioned
0240_SW6.pdf,Not mentioned
0151_HA4.pdf,Gas central heating
0126_CR3.pdf,Not mentioned
0136_DT5.pdf,Gas central heating
0229_SS13.pdf,Gas central heating
0235_SW12.pdf,Not mentioned
0294_W14.pdf,Not mentioned
0274_TA9.pdf,Not mentioned
0257_TA6.pdf,Gas central heating
0247_TA6.pdf,Gas central heating
0141_E7.pdf,Not mentioned
0179_N19.pdf,Not mentioned
0117_CM18.pdf,Gas central heating
0265_TA8.pdf,Gas central heating
0191_PL25.pdf,Gas central heating
0115_CH7.pdf,Not mentioned
0227_SO51.pdf,Not mentioned
0226_SO51.pdf,Not mentioned
0280_TN3.pdf,Not mentioned
0184_NW10.pdf,Not mentioned
0112_CA1.pdf,Not mentioned
0185_NW11.pdf,Gas central heating
0234_SS5.pdf,Not mentioned
0275_TA9.pdf,Not mentioned
0129_CT9.pdf,Not mentioned
0256_TA6.pdf,Gas central heating
0193_PO15.pdf,Not mentioned
0114_CF23.pdf,Not mentioned
0260_TA6.pdf,Gas central heating
0212_RM3.pdf,Not mentioned
0196_PO21.pdf,Not mentioned
0222_SN10.pdf,Not mentioned
0197_PO21.pdf,Not mentioned
0223_SN10.pdf,Not mentioned
0298_W9.pdf,Gas central heating
0217_SE5.pdf,Not mentioned
0101_BN17.pdf,Not mentioned
0148_GU27.pdf,Not mentioned
0105_BN21.pdf,Gas central heating
0144_E8.pdf,Not mentioned
0100_BN16.pdf,Not mentioned
0131_DA10.pdf,Gas central heating
0146_FK7.pdf,Gas central heating
0158_LU1.pdf,Gas central heating
0241_SW6.pdf,Gas central heating
0130_CT9.pdf,Not mentioned
0267_TA8.pdf,Not mentioned
0166_ME15.pdf,Gas central heating
0135_DT5.pdf,Not mentioned
0152_HA4.pdf,Gas central heating
0254_TA6.pdf,Gas central heating
0109_BS26.pdf,Not mentioned
0289_TW18.pdf,Not mentioned
0170_ME3.pdf,Gas central heating
0181_N8.pdf,Not mentioned
0171_ME4.pdf,Gas central heating
0169_ME2.pdf,Not mentioned
0300_CH7.pdf,Not mentioned
