property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extraction unit in the bathroom,not mentioned,not mentioned,yes,children's bedroom,kitchen,0208_RH13.pdf,gaps in windows and front door
ground floor apartment in a purpose built block,solid,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0121_CO2.pdf,plumbing related issue
mid-block ground floor flat,cavity,pre-1960,damp,not mentioned,"extractor in bathroom, trickle vents on windows",uPVC,not mentioned,yes,"bathroom, kitchen",not mentioned,0261_TA6.pdf,excess moisture from drying laundry indoors
end of terrace semi-detached 2 bedroom house,not mentioned,late 1970s,both,not mentioned,"one trickle vent in bathroom, passive vent in kitchen",uPVC,2 adults and 2 children,yes,"main bedroom, conservatory",hall,0203_PO9.pdf,lack of ventilation within the property
self-contained flat,not mentioned,circa 2006,damp,south west,trickle vents with forced air ventilation,aluminium,not mentioned,not mentioned,south west corner,not mentioned,0186_NW2.pdf,condensation from inadequate ventilation
three-bedroom end of terrace house,cavity,circa 1950s,both,not mentioned,extractors and trickle vents,uPVC,2 adults and 5 children,no,lounge,not mentioned,0104_BN18.pdf,lack of adequate ventilation
ground floor flat,cavity,not mentioned,both,not mentioned,extractor fan in kitchen and bathroom,not mentioned,not mentioned,not mentioned,bedroom,"study, lounge/kitchen",0157_LE7.pdf,atmospheric moisture from inadequate ventilation
end terrace one-bedroom bungalow,cavity,late 1950s,damp,not mentioned,trickle ventilation and extractor in kitchen,PVCu,not mentioned,not mentioned,bathroom,not mentioned,0172_ME5.pdf,water pooling at wall/floor junction
ground floor flat in a modern purpose built block,cavity,not mentioned,mould,north east,not mentioned,not mentioned,not mentioned,not mentioned,built-in wardrobe,en-suite bathroom,0205_RG27.pdf,interstitial condensation from atmospheric moisture
three-bedroomed semi-detached house,cavity,not mentioned,both,not mentioned,"trickle vents, mechanical extraction units",not mentioned,6 occupants,yes,Bedroom 1,"Bathroom, Bedroom 2",0159_LU1.pdf,inadequate ventilation and elevated humidity levels
lower ground floor flat in a large terrace property,solid,pre-1965,both,not mentioned,extractor fans in bathroom and kitchen areas,not mentioned,not mentioned,not mentioned,bathroom,middle bedroom,0284_TN37.pdf,ground related moisture source affecting the structure
ground floor and basement flats in a large property,solid,early 1900s,both,not mentioned,ceiling mounted extractor fan,not mentioned,4 members of the family,not mentioned,bathroom,front room,0216_SE4.pdf,condensation from unvented bathroom extractor fan
ground floor flat in a purpose built block,solid,late 1930s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0240_SW6.pdf,plumbing issues causing structural moisture
ground floor flat in a modern purpose built block,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen/lounge,not mentioned,0151_HA4.pdf,mismatch in heating system installation
ground floor flat in a purpose built block,cavity,not mentioned,both,north,"trickle vents, wall mounted bathroom extractor",uPVC,not mentioned,not mentioned,master bedroom and bathroom,not mentioned,0126_CR3.pdf,atmospheric moisture from occupational activity
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"passive vents, extractor fan",uPVC,not mentioned,not mentioned,"bathroom, rear bedroom",kitchen,0136_DT5.pdf,atmospheric moisture from inadequate ventilation
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extractor fan in bathroom and kitchen,not mentioned,not mentioned,not mentioned,kitchen,master bedroom,0229_SS13.pdf,interstitial condensation from internal atmospheric conditions
mid-terrace dwelling,cavity,2007,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0235_SW12.pdf,issue with roof drainage sealing
