property_type_mini,wall_type_mini,age_mini,issue_type_mini,orientation_mini,ventilation_mini,window_type_mini,occupancy_mini,drying_clothes_mini,main_issue_location_mini,secondary_issue_locations_mini,filename,property_type_4point1,wall_type_4point1,age_4point1,issue_type_4point1,orientation_4point1,ventilation_4point1,window_type_4point1,occupancy_4point1,drying_clothes_4point1,main_issue_location_4point1,secondary_issue_locations_4point1
semi-detached,cavity,1990 - present,mould,east,"mechanical extraction units in kitchen, WC, and bathroom; trickle vents",not mentioned,not mentioned,yes,bedroom 1,"bathroom, lounge",0019_EX14.pdf,semi-detached,cavity,1990 - present,mould,east,"mechanical extraction units in kitchen, WC, and bathroom; trickle vents throughout (all open); cooker hood (recirculating); passive ventilation via trickle vents",not mentioned,not mentioned,yes,"bedroom 1, lounge","bathroom, bedroom 2, understairs cupboard"
ground floor flat in a purpose-built block,solid,pre-1965,both,not mentioned,humidity controlled extractor fans in the kitchen and bathroom,uPVC,not mentioned,not mentioned,bathroom,kitchen,0017_E7.pdf,ground floor flat in a purpose-built block,solid,pre-1965,both,not mentioned,"humidity controlled extractor fans in kitchen and bathroom, uPVC windows with trickle vents",uPVC,not mentioned,not mentioned,bathroom,"kitchen, lounge, bedrooms"
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"background trickle vents, forced extraction devices",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,0012_CR8.pdf,two bedroomed ground floor flat in a purpose-built block,cavity,not mentioned,both,not mentioned,"background trickle vents to the windows; forced extraction devices in the bathroom and kitchen (constant running, %RH controlled boost function, pull cord boosts)",not mentioned,not mentioned,yes,bedroom 2,"bathroom, lounge"
modern two-bedroom end of terrace dwelling,cavity,not mentioned,mould,not mentioned,intermittent fan units and trickle vents,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0027_IP25.pdf,modern two-bedroom end of terrace dwelling,cavity,not mentioned,both,not mentioned,"intermittent fan units in bathrooms, kitchen, and ground floor toilet; trickle vents; passive ventilation",not mentioned,not mentioned,not mentioned,ground floor,lounge
one-bedroom ground floor flat,cavity,1984,both,not mentioned,"non-functioning extraction device in the bathroom, working unit in the kitchen",not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0010_CR0.pdf,one-bedroom ground floor flat,cavity,1984,both,not mentioned,"extractors in bathroom (non-functioning) and kitchen (working but isolated at time of survey), trickle vents (all closed), windows (only open in bathroom and kitchen at time of survey), limited air bricks",not mentioned,"resident (gender not specified), no mention of others or pets",not mentioned,bathroom,"kitchen, lounge/bedroom"
semi-detached dwelling,cavity,1950,both,not mentioned,"forced ventilation in kitchen and bathroom, passive ventilation with trickle vents",uPVC,not mentioned,yes,kitchen and lounge,"daughters bedroom, sons bedroom, landing",0028_KT7.pdf,semi-detached dwelling,cavity,1950,both,rear,"uPVC windows with trickle vents, continuous running extractor fans with manual boost in kitchen and bathroom, vents above doors, undercuts to internal doors",uPVC,not mentioned,yes,"kitchen, lounge","daughters bedroom, sons bedroom, landing"
two-bedroom ground floor flat,cavity,circa 2018,both,not mentioned,"PIV unit, bathroom and kitchen extractors",not mentioned,not mentioned,yes,bathroom,kitchen,0022_GU24.pdf,two-bedroom ground floor flat,cavity,circa 2018,both,not mentioned,"PIV unit, bathroom and kitchen extractors, trickle vents on all windows",not mentioned,resident with a disability and a son,yes,bathroom,"kitchen, lounge, bedroom 2"
ground floor flat,cavity,not mentioned,both,not mentioned,"extractors, trickle vents, passive vents",not mentioned,not mentioned,yes,bathroom,bedroom,0009_CM9.pdf,ground floor flat within a purpose-built block,cavity,not mentioned,both,not mentioned,"extractor fans in bathroom and kitchen, trickle vents, PIV unit in lounge",not mentioned,parents (number not specified),yes,bathroom,"bedroom, entrance wall"
end of terrace dwelling,solid,1700s,both,not mentioned,"timber frame casement windows, wall mounted extractor in shower room, ceiling mounted extractor in ensuite",timber frame casement,not mentioned,not mentioned,"master bedroom, lounge",rear utility room,0024_GU31.pdf,end of terrace dwelling,solid,1700s,both,front (likely north or east) and rear (likely south or west),"timber frame casement windows (no trickle vents), wall and ceiling mounted extractors in shower room, ensuite, and ground floor toilet; extractor hood in kitchen (venting uncertain)",timber frame casement,not mentioned,not mentioned,"master bedroom (built-in wardrobe), lounge","utility room, rear bedroom"
two-bedroom ground floor flat,cavity,circa 2012,both,not mentioned,mechanical extraction and heat recovery unit with vents in all rooms,not mentioned,not mentioned,yes,"Bedroom 1, Bedroom 2","Lounge, Kitchen",0021_GU19.pdf,two-bedroom ground floor flat within a purpose-built block,cavity,circa 2012,mould,not mentioned,mechanical extraction and heat recovery unit with vents within the ceiling in all rooms; use of extractor fans; trickle vents; window ventilation,not mentioned,tenant (number not specified),yes,bedroom 2,"lounge, bedroom 1"
