property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename
two-bedroom end of terrace dwelling,cavity,1965,both,not mentioned,"100mm extraction units in kitchen and bathroom, trickle vents on windows",uPVC,not mentioned,yes,kitchen,bathroom,David_Bly_LU4.pdf
semi-detached,cavity,1990 - present,mould,east,"mechanical extraction units in kitchen, WC, and bathroom; trickle vents",not mentioned,not mentioned,yes,bedroom 1,"bathroom, lounge",David_Bly_EX14.pdf
end of terrace dwelling,solid,not mentioned,damp,not mentioned,"extractor in kitchen, trickle vents closed",uPVC,3 people,yes,"lounge, bedroom 2","bedroom 1, bathroom",David_Bly_LU1 (2).pdf
ground floor flat in a purpose-built block,solid,pre-1965,both,not mentioned,humidity controlled extractor fans in the kitchen and bathroom,uPVC,not mentioned,not mentioned,bathroom,kitchen,David_Bly_E7.pdf
modern mid-terrace dwelling,cavity,not mentioned,mould,not mentioned,extractor fans and trickle vents,uPVC,not mentioned,not mentioned,"Master Bedroom, Bed 2",not mentioned,David_Bly_RH11.pdf
ground floor flat,cavity,1950s-60s,both,not mentioned,"extraction unit in bathroom, trickle vents open",uPVC,1 adult and 1 child,no,bedroom 1,bathroom,David_Bly_SN8.pdf
one-bedroom ground floor flat,cavity,summer of 2024,both,not mentioned,extractors,not mentioned,1 adult,not mentioned,not mentioned,not mentioned,David_Bly_RH10.pdf
ground floor maisonette,cavity,1990 - present,both,not mentioned,"lack of trickle vents, reliance on purge ventilation",not mentioned,not mentioned,not mentioned,"Bedroom 1, Hallway",not mentioned,David_Bly_RG2.pdf
ground floor flat,cavity,not mentioned,mould,not mentioned,trickle vents and extraction units,not mentioned,not mentioned,not mentioned,Bedroom 1,Bedroom 2,David_Bly_LU3.pdf
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"background trickle vents, forced extraction devices",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,David_Bly_CR8.pdf
