property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,analysis,heating_system
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extraction unit in the bathroom,not mentioned,not mentioned,yes,children's bedroom,bathroom,0208_RH13.pdf,"The reported damp and mould issues are primarily due to inadequate ventilation, which leads to excessive moisture accumulation and subsequent condensation. Additionally, the presence of water ingress from external sources, such as leaks or poor drainage, further exacerbates the problem by introducing moisture into the building fabric.","The main causes of the reported damp and mould issues in the flat include poor ventilation, as indicated by the ineffective extraction unit in the bathroom and the practice of drying laundry in a closed bathroom, leading to high humidity levels. Additionally, gaps around windows and the front door allow cold air to enter, exacerbating condensation problems. There are also indications of potential insulation deficiencies and previous water damage from a leak in the above flat, contributing to elevated moisture levels in certain areas.",Not mentioned
terraced four bedroom dwelling,solid,not mentioned,both,not mentioned,"mechanical extraction unit in kitchen, trickle vents on windows",not mentioned,not mentioned,not mentioned,dining room,lounge,0401_BN17.pdf,"The reported damp and mould issues are primarily caused by a historical leak from the neighbouring property, ongoing leaks, and inadequate damp proofing measures, as evidenced by the lack of a clear damp proof course (DPC) and bridging of the existing DPC. Additionally, restricted ventilation due to closed trickle vents, a turned-off mechanical extraction unit, and blocked airbricks and drains contribute to moisture accumulation, while the presence of hygroscopic salts further elevates moisture readings.","The reported damp and mould issues are primarily caused by inadequate ventilation, leading to elevated humidity levels in the ground floor areas, particularly in the dining room and kitchen. Additionally, previous water damage from a leak in the neighboring property may have contributed to moisture retention in the walls, while the presence of rising damp could also be exacerbated by a potential issue with the damp proof course (DPC) and a raised entrance path. The combination of these factors creates an environment conducive to mould growth.",Gas central heating
ground floor apartment in a purpose built block,solid,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0121_CO2.pdf,"The main causes of the reported damp and mould issues are plumbing-related problems, specifically the drainage of loss water from the property above into the lower carpark area around the soil stack, which has affected the external and party walls of the property. Additionally, the presence of significant moisture levels in the loss affected areas suggests that the original drainage issue contributed to prolonged moisture retention in the wall structures.","The reported damp and mould issues in the apartment are primarily caused by water ingress from a soil stack that has experienced a loss of water, leading to moisture accumulation in the wall structures. Additionally, the construction of the property, including the concrete floor slab and dry-lined plasterboard walls, may contribute to poor moisture management, allowing dampness to penetrate and create conditions conducive to mould growth. High relative humidity levels in the interior spaces further exacerbate the situation, providing an environment that supports mould proliferation.",Not mentioned
two bedroom ground floor flat,cavity,not mentioned,mould,not mentioned,"mechanical extraction unit in the bathroom, PIV unit in the WC, trickle vents in windows",not mentioned,1 adult and 2 children,not mentioned,bathroom cupboard,both bedrooms,0400_BN17.pdf,"The mould issues are primarily caused by a combination of inadequate ventilation, leading to condensation, and a potential ongoing internal leak contributing to elevated moisture levels. The existing ventilation systems, including a mechanical extraction unit and a PIV unit, are insufficient to meet the required Whole Dwelling Ventilation Rate, exacerbating the problem in a cold environment with low internal temperatures.","The main causes of the reported damp and mould issues in the property are poor ventilation and high internal humidity levels, particularly in areas like the bathroom and bedrooms. The lack of adequate airflow, exacerbated by the absence of trickle vents in windows and insufficient extraction rates from mechanical ventilation units, contributes to elevated moisture levels. Additionally, the presence of cold surfaces and potential leaks from pipework further increase the likelihood of condensation and mould growth.",Not mentioned
mid-block ground floor flat,cavity,pre-1960,damp,not mentioned,"extractor in bathroom, trickle vents on windows",uPVC,not mentioned,yes,"bathroom, kitchen",not mentioned,0261_TA6.pdf,"The main causes of the reported issues include inadequate ventilation due to the closed trickle vents and the absence of an extractor fan in the kitchen, which can lead to the accumulation of moisture from cooking and laundry drying. Additionally, the removal of the door between the kitchen and lounge facilitates the free flow of condensation, further contributing to moisture levels within the property.","The reported high moisture levels in the bathroom and kitchen are primarily caused by inadequate ventilation, as evidenced by the non-functioning extractor fan and the removal of the kitchen door, which allows moisture from cooking to spread throughout the property. Additionally, the use of a temporary washing line in the hallway contributes to increased humidity levels. The presence of unsealed edges in the vinyl flooring and direct water exposure from the shower further exacerbate moisture retention issues, while the lack of a vertical damp proof course (DPC) may allow for moisture ingress from the cavity walls.",Not mentioned
2 bedroomed terraced dwelling,cavity,not mentioned,both,not mentioned,"no forced extraction in the kitchen, underperforming bathroom extractor",not mentioned,not mentioned,not mentioned,kitchen,first-floor bathroom,0756_PO1.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly due to the absence of an extractor fan in the kitchen and an underperforming bathroom extractor that is not effectively ducted to the exterior. Additionally, structural factors such as the lack of a damp proof course (DPC) and potential rising damp from ground moisture contribute to the moisture problems, while cracking in the external render may allow moisture ingress.","The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in high-moisture areas like the kitchen and bathroom, leading to condensation. Additionally, the presence of a flat roof may contribute to cooling and resultant condensation, while structural issues such as cracking render and potential plumbing leaks further exacerbate moisture ingress. The lack of proper insulation in the loft and the underperformance of existing extraction systems also play significant roles in maintaining high humidity levels conducive to mould growth.",Gas central heating
two bedroom ground floor flat,solid,1970s,both,not mentioned,"trickle vents, extraction units in kitchen and bathroom",uPVC,2 adults and 1 child,yes,bathroom,lounge,0363_BH22.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation in both the kitchen and bathroom, leading to elevated humidity levels and condensation. The extraction units in both areas are underperforming, failing to meet the recommended flow rates, and the absence of a vent flap on the tumble dryer exposes it to external elements. Additionally, the poor condition of trickle vents and UPVC windows contributes to draughts and further exacerbates the internal atmospheric moisture.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the kitchen and bathroom, leading to high humidity levels and condensation. Additionally, the ineffective extraction units and perished seals around windows and the tumble dryer vent contribute to moisture accumulation within the flat. The high relative humidity readings in various rooms further indicate a failure to properly manage moisture levels, exacerbating the mould growth.",Gas central heating
one bedroom end of terrace ground floor dwelling,cavity,1950s,mould,not mentioned,"two extraction units, one in bathroom and one in kitchen",PVCu,not mentioned,no,"bedroom, bathroom",not mentioned,0894_SN10.pdf,"The main causes of the reported mould issues are inadequate ventilation, particularly due to the bathroom extraction unit not overrunning after use, and the placement of furniture against cooler exterior walls, which creates cold spots conducive to condensation. Additionally, the presence of moisture in the skirting board and the potential for ground moisture intrusion due to the thermoplastic tiles acting as a damp proof membrane contribute to the problem.","The reported damp and mould issues are primarily caused by inadequate ventilation in both the bathroom and bedroom, as evidenced by closed trickle vents and a poorly functioning bathroom extraction unit. Additionally, the placement of furniture against external walls restricts airflow, contributing to localized condensation and mould growth in cooler areas of the property.",Electric storage heaters or radiators
two-bedroom ground floor flat,cavity,circa 2012,both,not mentioned,mechanical extraction and heat recovery unit with vents in all rooms,not mentioned,not mentioned,yes,"Bedroom 1, Bedroom 2","Lounge, Kitchen",0021_GU19.pdf,"The reported mould outbreaks are primarily caused by elevated internal humidity levels due to inadequate ventilation, as the reliance on tenant-operated window opening and the presence of a mechanical extraction unit are insufficient to manage moisture effectively. Additionally, the practice of drying clothing indoors, particularly in the kitchen/lounge area, contributes to increased humidity, creating conditions conducive to mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated internal humidity levels. The presence of mould on contents and surfaces is driven by high relative humidity, often exceeding 70%, which is exacerbated by activities such as drying clothes indoors without proper ventilation. Additionally, the mechanical extraction and heat recovery system has not been serviced since 2019, potentially leading to suboptimal performance in managing moisture levels.",Not mentioned
one bedroomed bungalow,cavity,pre-dating 1965,both,not mentioned,extractors and trickle vents,not mentioned,not mentioned,not mentioned,kitchen,utility room,0418_BN18.pdf,"The reported damp issues are primarily caused by inadequate ventilation, as the installed units in the bathroom and kitchen are not being utilized, leading to elevated internal humidity levels. Additionally, the presence of contents against external wall surfaces in the utility room contributes to condensation during colder months, exacerbating the damp conditions.","The reported damp and mould issues in the property are primarily caused by inadequate ventilation, as evidenced by the tenant's reliance on open windows instead of using the mechanical extraction units, which were found to be turned off. Additionally, the absence of a damp proof membrane (DPM) in the solid floor construction, due to the property's age, likely contributes to moisture migration from the ground. The high relative humidity levels in various rooms further indicate poor moisture management, which can lead to condensation and mould growth.",Gas central heating
