Report,Location,Relative Humidity,Air Temp,Dew Point,Specific Humidity
David_Bly_BN17,Exterior,75.0,19.6,15.0,10.4
David_Bly_BN17,Hallway,70.5,24.1,18.4,12.7
David_Bly_BN17,Kitchen,61.5,24.8,16.9,11.5
David_Bly_BN43,Exterior,92.4,12.2,11.0,8.1
David_Bly_BN43,Kitchen,62.1,20.9,13.4,9.5
David_Bly_BN43,Lounge,69.6,18.8,13.3,9.4
David_Bly_BN43,Bathroom,66.4,18.7,12.6,9.0
David_Bly_BN43,Bed 1,64.7,20.4,13.6,9.6
David_Bly_BN43,Bed 2,74.2,19.3,14.6,10.3
David_Bly_BR1,Exterior,80.4,12.5,9.22,7.3
David_Bly_BR1,Hallway,61.1,23.6,15.6,10.7
David_Bly_BR1,Kitchen/Lounge,61.4,23.7,15.8,10.8
David_Bly_BR1,Bedroom 2,54.6,23.7,14.0,9.6
David_Bly_BS35,Exterior,61.2,16.9,9.38,7.2
David_Bly_BS35,Landing,41.2,22.0,8.21,6.1
David_Bly_BS35,Bedroom 1,57.4,22.0,13.2,9.2
David_Bly_CM3,Exterior,68.4,8.1,2.7,4.6
David_Bly_CM3,Bedroom,63.1,18.7,11.6,8.5
David_Bly_CM3,Lounge,51.9,20.4,10.2,7.8
David_Bly_CM3,Bathroom,65.2,17.5,10.9,8.1
David_Bly_CM9 (2),Exterior,76.2,10.1,6.1,5.9
David_Bly_CM9 (2),Kitchen,47.0,27.4,15.1,10.8
David_Bly_CM9 (2),Bathroom,72.3,19.3,14.2,10.1
David_Bly_CM9 (2),Lounge,71.0,19.4,14.0,10.0
David_Bly_CM9 (2),Bed 1,74.2,17.7,13.0,9.4
David_Bly_CM9 (2),Bed 2,71.6,19.6,14.3,10.2
David_Bly_CM9 (3),Exterior,72.8,11.6,6.9,6.2
David_Bly_CM9 (3),Kitchen,67.4,18.8,12.6,9.2
David_Bly_CM9 (3),Bathroom,59.1,17.4,9.3,7.3
David_Bly_CM9 (3),Bedroom1,54.4,20.3,10.8,8.1
David_Bly_CM9 (3),Bedroom 2,56.9,19.3,10.6,8.0
David_Bly_CM9 (3),Bedroom 3,55.6,20.0,10.9,8.1
David_Bly_CM9 (3),Lounge,55.2,19.9,10.7,8.0
David_Bly_CM9,Exterior,54.0,19.2,9.7,7.4
David_Bly_CM9,Kitchen,69.7,19.7,14.0,9.8
David_Bly_CM9,Hallway,64.9,19.7,12.9,9.1
David_Bly_CM9,Bathroom,78.0,20.2,16.2,11.3
David_Bly_CR0 (1),Exterior,76.0,20.0,15/6,10.8
David_Bly_CR0 (1),Interior,72.1,24.5,19.1,13.3
David_Bly_CR0,Exterior,82.2,7.3,4.5,5.2
David_Bly_CR0,Bedroom,66.9,18.8,12.5,9.1
David_Bly_CR0,Kitchen,64.2,17.6,10.8,8.1
David_Bly_CR0,Bathroom,72.6,17.4,12.4,9.0
David_Bly_CR8,Exterior,46.1,25.1,12.7,8.8
David_Bly_CR8,Lounge/kitchen,55.1,23.2,13.6,9.4
David_Bly_CR8,Bed 2,60.2,22.9,14.7,10.1
David_Bly_CR8,Bed 1,62.7,23.2,15.6,10.7
David_Bly_CR8,Bathroom,63.0,22.7,15.3,10.5
David_Bly_CR8,Int hall,71.5,22.6,17.1,11.8
